chart	title	artist	weeks	rank	query_week	lyrics
hot-holiday-songs	A Holly Jolly Christmas	Burl Ives	28	7	12/17/2016	"Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh, ho, the mistletoe
Hung where you can see
...

"
hot-holiday-songs	Feliz Navidad	Jose Feliciano	28	8	12/17/2016	"Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad

Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad


I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

...

"
hot-holiday-songs	"Mary, Did You Know?"	Pentatonix	13	9	12/17/2016	"Mary, did you know that your baby boy would one day walk on water?
Mary, did you know that your baby boy would save our sons and daughters?
Did you know that your baby boy has come to make you new?
This child that you've delivered, will soon deliver you

Mary, did you know that your baby boy would give sight to a blind man?
Mary, did you know that your baby boy would calm the storm with his hand?
Did you know that your baby boy has walked where angels trod?
When you kiss your little baby you kiss the face of god

...

"
hot-holiday-songs	Last Christmas	Wham!	28	10	12/17/2016	"Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me baby, do you recognize me?

Well, it's been a year, it doesn't surprise me
""Merry Christmas"" I wrapped it up and sent it
With a note saying ""I love you"", I meant it
Now I know what a fool I've been

But if you kissed me now, I know you'd fool me again
...

"
hot-holiday-songs	All I Want For Christmas Is You	Mariah Carey	27	1	12/10/2016	"I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you

I don't want a lot for Christmas
There is just one thing I need
And I don't care about the presents
Underneath the Christmas tree

I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas day
I just want you for my own
...

"
hot-holiday-songs	Rockin' Around The Christmas Tree	Brenda Lee	27	2	12/10/2016	"Rocking around the Christmas Tree
At the Christmas party hop
Mistletoe hung where you can see
Every couple tries to stop

Rocking around the Christmas Tree
Let the Christmas Spirit ring
Later we'll have some pumpkin pie
And we'll do some caroling
...

"
hot-holiday-songs	Jingle Bell Rock	Bobby Helms	27	3	12/10/2016	"Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now the jingle hop has begun

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
...

"
hot-holiday-songs	Hallelujah	Pentatonix	2	4	12/10/2016	"I've heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music, do ya?

Well it goes like this: the fourth, the fifth
The minor fall, the major lift
The baffled king composing Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

Well, your faith was strong, but you needed proof
You saw her bathing on the roof
Her beauty in the moonlight overthrew ya

She tied you to the kitchen chair
...

"
hot-holiday-songs	The Christmas Song (Merry Christmas To You)	Nat King Cole	27	5	12/10/2016	"Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos

Everybody knows a turkey and some
Mistletoe help to make the season bright
Tiny tots with their eyes all aglow
...

"
hot-holiday-songs	It's The Most Wonderful Time Of The Year	Andy Williams	27	6	12/10/2016	"It's the most wonderful time of the year 
With the kids jingle belling
And everyone telling you ""Be of good cheer"" 
It's the most wonderful time of the year 
It's the hap-happiest season of all
With those holiday greetings and gay happy meetings 
When friends come to call 
It's the hap- happiest season of all 

There'll be parties for hosting 
Marshmallows for toasting 
And caroling out in the snow 
...

"
hot-holiday-songs	A Holly Jolly Christmas	Burl Ives	27	7	12/10/2016	"Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh, ho, the mistletoe
Hung where you can see
...

"
hot-holiday-songs	Feliz Navidad	Jose Feliciano	27	8	12/10/2016	"Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad

Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad


I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

...

"
hot-holiday-songs	Last Christmas	Wham!	27	9	12/10/2016	"Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me baby, do you recognize me?

Well, it's been a year, it doesn't surprise me
""Merry Christmas"" I wrapped it up and sent it
With a note saying ""I love you"", I meant it
Now I know what a fool I've been

But if you kissed me now, I know you'd fool me again
...

"
hot-holiday-songs	Christmas Eve (Sarajevo 12/24)	Trans-Siberian Orchestra	27	10	12/10/2016	
